Constituency,Const_No,Winner,Winner_Party,Runner_Up,Runner_Party,Margin,Status,Const_No_num
Kannauj,42,AKHILESH YADAV,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,170922.0,Result Declared,42
Kannur,2,K. SUDHAKARAN,Indian National Congress,M.V. JAYARAJAN,Communist Party of India (Marxist),108982.0,Result Declared,2
Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,ALOK MISRA,Indian National Congress,20968.0,Result Declared,43
Kanthi,31,ADHIKARI SOUMENDU,Bharatiya Janata Party,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,47764.0,Result Declared,31
Karakat,35,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),PAWAN SINGH,Independent,105858.0,Result Declared,35
Karimganj,7,KRIPANATH MALLAH,Bharatiya Janata Party,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,18360.0,Result Declared,7
Karimnagar,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,VELCHALA RAJENDER RAO,Indian National Congress,225209.0,Result Declared,3
Kasaragod,1,RAJMOHAN UNNITHAN,Indian National Congress,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),100649.0,Result Declared,1
Katihar,11,TARIQ ANWAR,Indian National Congress,DULAL CHANDRA GOSWAMI,Janata Dal (United),49863.0,Result Declared,11
Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944.0,Result Declared,50
Kaziranga,10,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,ROSELINA TIRKEY,Indian National Congress,248947.0,Result Declared,10
Kendrapara,15,BAIJAYANT PANDA,Bharatiya Janata Party,ANSHUMAN MOHANTY,Biju Janata Dal,66536.0,Result Declared,15
Keonjhar,4,ANANTA NAYAK,Bharatiya Janata Party,DHANURJAYA SIDU,Biju Janata Dal,97042.0,Result Declared,4
Khadoor Sahib,3,AMRITPAL SINGH,Independent,KULBIR SINGH ZIRA,Indian National Congress,197120.0,Result Declared,3
Khagaria,25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),SANJAY KUMAR,Communist Party of India (Marxist),161131.0,Result Declared,25
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,NAMA NAGESWARA RAO,Bharat Rashtra Samith,467847.0,Result Declared,17
Kheda,17,DEVUSINH CHAUHAN,Bharatiya Janata Party,KALUSINH DABHI,Indian National Congress,357758.0,Result Declared,17
Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,AJAY KUMAR,Bharatiya Janata Party,34329.0,Result Declared,28
Khunti,11,KALI CHARAN MUNDA,Indian National Congress,ARJUN MUNDA,Bharatiya Janata Party,149675.0,Result Declared,11
Kishanganj,10,MOHAMMAD JAWED,Indian National Congress,MUJAHID ALAM,Janata Dal (United),59692.0,Result Declared,10
Kodarma,5,ANNPURNA DEVI,Bharatiya Janata Party,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),377014.0,Result Declared,5
Kokrajhar,1,JOYANTA BASUMATARY,"United People’s Party, Liberal",KAMPA BORGOYARI,Bodoland Peoples Front,51583.0,Result Declared,1
Kolar,28,M. MALLESH BABU,Janata Dal (Secular),K V GOWTHAM,Indian National Congress,71388.0,Result Declared,28
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,154964.0,Result Declared,47
Kolkata Dakshin,23,MALA ROY,All India Trinamool Congress,DEBASREE CHAUDHURI,Bharatiya Janata Party,187231.0,Result Declared,23
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,TAPAS ROY,Bharatiya Janata Party,92560.0,Result Declared,24
Kollam,18,N K PREMACHANDRAN,Revolutionary Socialist Party,M MUKESH,Communist Party of India (Marxist),150302.0,Result Declared,18
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,46357.0,Result Declared,8
Koraput,21,SAPTAGIRI SANKAR ULAKA,Indian National Congress,KAUSALYA HIKAKA,Biju Janata Dal,147744.0,Result Declared,21
Kottayam,14,ADV K FRANCIS GEORGE,Kerala Congress,THOMAS CHAZHIKADAN,Kerala Congress (M),87266.0,Result Declared,14
Kozhikode,5,M. K. RAGHAVAN,Indian National Congress,ELAMARAM KAREEM,Communist Party of India (Marxist),146176.0,Result Declared,5
Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,AMRITA ROY,Bharatiya Janata Party,56705.0,Result Declared,12
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,111298.0,Result Declared,18
Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790.0,Result Declared,65
Ladakh,1,MOHMAD HANEEFA,Independent,TSERING NAMGYAL,Indian National Congress,27862.0,Result Declared,1
Lakhimpur,12,PRADAN BARUAH,Bharatiya Janata Party,UDAY SHANKAR HAZARIKA,Indian National Congress,201257.0,Result Declared,12
Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,2647.0,Result Declared,1
Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,NEELAM SONKER,Bharatiya Janata Party,115023.0,Result Declared,68
Latur,41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,61881.0,Result Declared,41
Lohardaga,12,SUKHDEO BHAGAT,Indian National Congress,SAMIR ORAON,Bharatiya Janata Party,139138.0,Result Declared,12
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,135159.0,Result Declared,35
Ludhiana,7,AMRINDER SINGH RAJA WARRING,Indian National Congress,RAVNEET SINGH BITTU,Bharatiya Janata Party,20942.0,Result Declared,7
MADURAI,32,VENKATESAN S,Communist Party of India (Marxist),RAAMA SREENIVASAN,Bharatiya Janata Party,209409.0,Result Declared,32
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,TAMRADHWAJ SAHU,Indian National Congress,145456.0,Result Declared,9
MANDI,2,KANGNA RANAUT,Bharatiya Janata Party,VIKRAMADITYA SINGH,Indian National Congress,74755.0,Result Declared,2
MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,OMKAR SINGH MARKAM,Indian National Congress,103846.0,Result Declared,14
MANDSOUR,23,SUDHEER GUPTA,Bharatiya Janata Party,DILIP SINGH GURJAR,Indian National Congress,500655.0,Result Declared,23
MAYILADUTHURAI,28,SUDHA R,Indian National Congress,BABU P,All India Anna Dravida Munnetra Kazhagam,271183.0,Result Declared,28
MIZORAM,1,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,K VANLALVENA,Mizo National Front,68288.0,Result Declared,1
MORENA,1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,52530.0,Result Declared,1
Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850.0,Result Declared,74
Machilipatnam,11,BALASHOWRY VALLABHANENI,Janasena Party,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,223179.0,Result Declared,11
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,120837.0,Result Declared,43
Madhepura,13,DINESH CHANDRA YADAV,Janata Dal (United),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,174534.0,Result Declared,13
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,151945.0,Result Declared,6
Mahabubabad,16,BALRAM NAIK PORIKA,Indian National Congress,KAVITHA MALOTH,Bharat Rashtra Samith,349165.0,Result Declared,16
Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,35451.0,Result Declared,63
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651.0,Result Declared,19
Mahbubnagar,11,ARUNA. D. K,Bharatiya Janata Party,CHALLA VAMSHI CHAND REDDY,Indian National Congress,4500.0,Result Declared,11
Mahesana,4,HARIBHAI PATEL,Bharatiya Janata Party,RAMJI THAKOR,Indian National Congress,328046.0,Result Declared,4
Mainpuri,21,DIMPLE YADAV,Samajwadi Party,JAYVEER SINGH,Bharatiya Janata Party,221639.0,Result Declared,21
Malappuram,6,E.T. MOHAMMED BASHEER,Indian Union Muslim League,V. VASEEF,Communist Party of India (Marxist),300118.0,Result Declared,6
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,Indian National Congress,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,128368.0,Result Declared,8
Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,PRASUN BANERJEE,All India Trinamool Congress,77708.0,Result Declared,7
Malkajgiri,7,EATALA RAJENDER,Bharatiya Janata Party,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,391475.0,Result Declared,7
Mandya,20,H.D. KUMARASWAMY,Janata Dal (Secular),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,284620.0,Result Declared,20
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,MUKESH DHANGAR,Indian National Congress,293407.0,Result Declared,17
Mathurapur,20,BAPI HALDAR,All India Trinamool Congress,ASHOK PURKAIT,Bharatiya Janata Party,201057.0,Result Declared,20
Maval,33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),96615.0,Result Declared,33
Mavelikkara,16,KODIKUNNIL SURESH,Indian National Congress,ADV ARUN KUMAR C A,Communist Party of India,10868.0,Result Declared,16
Mayurbhanj,5,NABA CHARAN MAJHI,Bharatiya Janata Party,SUDAM MARNDI,Biju Janata Dal,219334.0,Result Declared,5
Medak,6,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,NEELAM MADHU,Indian National Congress,39139.0,Result Declared,6
Medinipur,34,JUNE MALIAH,All India Trinamool Congress,AGNIMITRA PAUL,Bharatiya Janata Party,27191.0,Result Declared,34
Meerut,10,ARUN GOVIL,Bharatiya Janata Party,SUNITA VERMA,Samajwadi Party,10585.0,Result Declared,10
Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),RAMESH CHAND BIND,Samajwadi Party,37810.0,Result Declared,79
Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406.0,Result Declared,32
Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,KAUSHAL KISHORE,Bharatiya Janata Party,70292.0,Result Declared,34
Moradabad,6,RUCHI VIRA,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762.0,Result Declared,6
Mumbai North,26,PIYUSH GOYAL,Bharatiya Janata Party,BHUSHAN PATIL,Indian National Congress,357608.0,Result Declared,26
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,Indian National Congress,ADV UJWAL NIKAM,Bharatiya Janata Party,16514.0,Result Declared,29
Mumbai North East,28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,29861.0,Result Declared,28
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,Shiv Sena,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),48.0,Result Declared,27
Mumbai South,31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),YAMINI YASHWANT JADHAV,Shiv Sena,52673.0,Result Declared,31
Mumbai South Central,30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),RAHUL RAMESH SHEWALE,Shiv Sena,53384.0,Result Declared,30
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),KUMARI ANITA,Rashtriya Janata Dal,80870.0,Result Declared,28
Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,MD SALIM,Communist Party of India (Marxist),164215.0,Result Declared,11
Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672.0,Result Declared,3
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927.0,Result Declared,15
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,M. LAKSHMANA,Indian National Congress,139262.0,Result Declared,21
NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957.0,Result Declared,29
NAGAUR,14,HANUMAN BENIWAL,Rashtriya Loktantrik Party,JYOTI MIRDHA,Bharatiya Janata Party,42225.0,Result Declared,14
NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112.0,Result Declared,16
NILGIRIS,19,RAJA A,Dravida Munnetra Kazhagam,DR MURUGAN L,Bharatiya Janata Party,240585.0,Result Declared,19
Nabarangpur,12,BALABHADRA MAJHI,Bharatiya Janata Party,PRADEEP KUMAR MAJHI,Biju Janata Dal,87536.0,Result Declared,12
Nagaland,1,S SUPONGMEREN JAMIR,Indian National Congress,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,50984.0,Result Declared,1
Nagaon,9,PRADYUT BORDOLOI,Indian National Congress,SURESH BORAH,Bharatiya Janata Party,212231.0,Result Declared,9
Nagarkurnool,12,DR.MALLU RAVI,Indian National Congress,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,94414.0,Result Declared,12
Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),OM KUMAR,Bharatiya Janata Party,151473.0,Result Declared,5
Nagpur,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,VIKAS THAKRE,Indian National Congress,137603.0,Result Declared,10
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548.0,Result Declared,4
Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal (United),DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),169114.0,Result Declared,29
Nalgonda,13,KUNDURU RAGHUVEER,Indian National Congress,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,559905.0,Result Declared,13
Nanded,16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,59442.0,Result Declared,16
Nandurbar,1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,159120.0,Result Declared,1
Nandyal,17,DR BYREDDY SHABARI,Telugu Desam,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,111975.0,Result Declared,17
Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,276802.0,Result Declared,9
Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,159729.0,Result Declared,14
Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),GODSE HEMANT TUKARAM,Shiv Sena,162001.0,Result Declared,21
Navsari,25,C R PATIL,Bharatiya Janata Party,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress,773551.0,Result Declared,25
Nawada,39,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670.0,Result Declared,39
Nellore,22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,245902.0,Result Declared,22
New Delhi,4,BANSURI SWARAJ,Bharatiya Janata Party,SOMNATH BHARTI,Aam Aadmi Party,78370.0,Result Declared,4
Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,JEEVANREDDY THATIPARTHI,Indian National Congress,109241.0,Result Declared,4
North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,RAMAKANT KHALAP,Indian National Congress,116015.0,Result Declared,1
North-East Delhi,2,MANOJ TIWARI,Bharatiya Janata Party,KANHAIYA KUMAR,Indian National Congress,138778.0,Result Declared,2
North-West Delhi,5,YOGENDER CHANDOLIYA,Bharatiya Janata Party,UDIT RAJ,Indian National Congress,290849.0,Result Declared,5
Ongole,16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,50199.0,Result Declared,16
Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,329846.0,Result Declared,40
Outer Manipur,2,ALFRED KANNGAM S ARTHUR,Indian National Congress,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,85418.0,Result Declared,2
PALI,15,P. P. CHAUDHARY,Bharatiya Janata Party,SANGEETA BENIWAL,Indian National Congress,245351.0,Result Declared,15
PERAMBALUR,25,ARUN NEHRU,Dravida Munnetra Kazhagam,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,389107.0,Result Declared,25
POLLACHI,21,ESWARASAMY K,Dravida Munnetra Kazhagam,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,252042.0,Result Declared,21
PUDUCHERRY,1,VE VAITHILINGAM,Indian National Congress,A NAMASSIVAYAM,Bharatiya Janata Party,136516.0,Result Declared,1
Palakkad,8,V K SREEKANDAN,Indian National Congress,A VIJAYARAGHAVAN,Communist Party of India (Marxist),75283.0,Result Declared,8
Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,MAMTA BHUIYAN,Rashtriya Janata Dal,288807.0,Result Declared,13
Palghar,22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),183306.0,Result Declared,22
Panchmahal,18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,GULABSINH SOMSINH CHAUHAN,Indian National Congress,509342.0,Result Declared,18
Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,134061.0,Result Declared,17
Paschim Champaran,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568.0,Result Declared,2
Patan,3,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,CHANDANJI TALAJI THAKOR,Indian National Congress,31876.0,Result Declared,3
Pathanamthitta,17,ANTO ANTONY,Indian National Congress,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),66119.0,Result Declared,17
Patiala,13,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831.0,Result Declared,13
Patliputra,31,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174.0,Result Declared,31
Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846.0,Result Declared,30
Peddapalle,2,VAMSI KRISHNA GADDAM,Indian National Congress,SRINIVAS GOMASE,Bharatiya Janata Party,131364.0,Result Declared,2
Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,AMAR NATH SINGH MAURYA,Samajwadi Party,4332.0,Result Declared,51
Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935.0,Result Declared,26
Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,K.S HAMZA,Communist Party of India (Marxist),235760.0,Result Declared,7
Porbandar,11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,LALIT VASOYA,Indian National Congress,383360.0,Result Declared,11
